OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN,X,Y,xcoord,ycoord
157,13029.00000,51213029.00000,Clybourn,Clybourn,"UP-N, UP-NW",13,1,2.90000,A,1,N,1,0,,2001 N. Ashland Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.66805,41.91721
158,13070.00000,51213070.00000,Irving Park,Irving Park,UP-NW,13,1,7.00000,B,0,M,1,0,,4000 N. Kedvale Ave.,Chicago,,,180,ks,1995/08/02,,,,-87.73116,41.95317
159,13091.00000,51213091.00000,Jefferson Park,Jefferson Park,UP-NW,13,1,9.10000,B,0,N,1,0,,4963 N. Milwaukee Ave.,Chicago,,,180,ks,1995/08/02,,,,-87.76334,41.97151
160,13101.00000,51213101.00000,Gladstone Park,Gladstone Park,UP-NW,13,1,10.10000,B,1,N,1,0,,5500 N. Austin Blvd.,Chicago,,,180,ks,1995/08/02,,,,-87.77789,41.97975
161,13114.00000,51213114.00000,Norwood Park,Norwood Park,UP-NW,13,1,11.40000,C,0,N,1,0,,6088 N. Northwest Highway,Chicago,,,180,ks,1995/08/02,,,,-87.79906,41.99175
162,13126.00000,51213126.00000,Edison Park,Edison Park,UP-NW,13,1,12.60000,C,0,N,1,0,,6700 N. Olmstead Ave.,Chicago,,,180,ks,1995/08/02,,,,-87.81771,42.00223
163,13135.00000,51213135.00000,Park Ridge,Park Ridge,UP-NW,13,1,13.50000,C,0,A,1,32,,100 S. Summit Ave.,Park Ridge,,,180,ks,1995/08/02,,,,-87.83175,42.01021
164,13150.00000,51213150.00000,Dee Road,Dee Road,UP-NW,13,1,15.00000,C,0,N,1,0,,881 N. Dee Road,Park Ridge,,,180,ks,1995/08/02,,,,-87.85489,42.02327
165,13171.00000,51213171.00000,Des Plaines,Des Plaines,UP-NW,13,1,17.10000,D,2,M,1,38,,1501 Miner St. (at Lee St.),Des Plaines,,,180,ks,1995/08/02,,,,-87.88676,42.04079
166,13186.00000,51213186.00000,Cumberland,Cumberland,UP-NW,13,1,18.60000,D,1,N,1,26,,475 N. Northwest Highway,Des Plaines,,,180,ks,1995/08/02,,,,-87.91231,42.05219
167,13200.00000,51213200.00000,Mount Prospect,Mount Prospect,UP-NW,13,1,20.00000,D,0,A,1,360,,13 E. Northwest Hwy. (at Main St.),Mount Prospect,,,180,ks,1995/08/02,,,,-87.93618,42.06294
168,13228.00000,51213228.00000,Arlington Heights,Arlington Heights,UP-NW,13,1,22.80000,E,0,M,1,96,,19 E. Northwest Highway,Arlington Heights,,,180,ks,1995/08/02,,,,-87.98218,42.08338
169,13244.00000,51213244.00000,Arlington Park,Arlington Park,UP-NW,13,1,24.40000,E,0,M,1,28,,2121 W. Northwest Highway,Arlington Heights,,,180,ks,1995/08/02,,,,-88.00956,42.09567
170,13268.00000,51213268.00000,Palatine,Palatine,UP-NW,13,1,26.80000,F,0,M,1,102,,225 W. Colfax (at Smith St.),Palatine,,,180,ks,1995/08/02,,,,-88.04993,42.11361
171,13319.00000,51213319.00000,Barrington,Barrington,UP-NW,13,1,31.90000,G,0,M,1,36,,201 S. Spring Street,Barrington,,,0,ks,1995/08/02,,,,-88.13211,42.15290
172,13373.00000,51213373.00000,Fox River Grove,Fox River Grove,UP-NW,13,1,37.30000,H,2,M,1,0,,4015 N. Northwest Highway,Fox River Grove,,,180,ks,1995/08/02,,,,-88.21886,42.19752
173,13386.00000,51213386.00000,Cary,Cary,UP-NW,13,1,38.60000,H,0,A,1,30,,100 W. Main St. (at Northwest Hwy.),Cary,,,180,ks,1995/08/02,,,,-88.24141,42.20916
174,13432.00000,51213432.00000,Crystal Lake,Crystal Lake,UP-NW,13,1,43.20000,I,0,A,1,42,,Woodstock Ave. and Grant St.,Crystal Lake,,,180,ks,1995/08/02,,,,-88.31706,42.24415
175,13506.00000,51213506.00000,McHenry,McHenry,UP-NW,14,1,50.60000,K,2,M,1,0,,4005 Main Street,McHenry,,,180,ks,1995/08/02,,,,-88.27615,42.34330
176,13516.00000,51213516.00000,Woodstock,Woodstock,UP-NW,13,1,51.60000,K,0,A,1,20,,90 Church Street,Woodstock,,,180,ks,1995/08/02,,,,-88.44728,42.31684
